id,code,name,description,symbol
c_clave_unidad_1I,1I, Tipo de interés fijo, Unidad de cantidad expresada como una tasa predeterminada o conjunto para el uso de una instalación o servicio.,
c_clave_unidad_1J,1J,Tonelada milla,,
c_clave_unidad_1K,1K,Milla locomotora,,
c_clave_unidad_1L,1L,Recuento total de automóviles,,
c_clave_unidad_1M,1M,Milla total del coche,,
c_clave_unidad_1X,1X,Cuarto de milla,,
c_clave_unidad_20,20, Contenedores de veinte pies, Unidad de conteo que define el número de contenedores de transporte que miden 20 pies de longitud.,
c_clave_unidad_21,21, Contenedor de cuarenta pies, Unidad de conteo que define el número de contenedores de transporte que miden 40 pies de longitud.,
c_clave_unidad_22,22,Decilitro por gramo,,dl/g
c_clave_unidad_23,23,Gramo por centímetro cúbico,,g/cm³
c_clave_unidad_24,24,Libra teórica, Unidad de masa que define la masa esperada de material expresado como el número de libras.,
c_clave_unidad_25,25,Gramo por centímetro cuadrado,,g/cm²
c_clave_unidad_27,27,Tonelada teórica,"Unidad de masa que define la masa esperada de material, expresada como el número de toneladas.",
c_clave_unidad_28,28,Kilogramo por metro cuadrado,,kg/m²
c_clave_unidad_2A,2A,Radián por segundo,"Es la velocidad de un cuerpo que, con una rotación uniforme alrededor de un eje fijo, gira en 1 segundo, 1 radián. ",rad/s
c_clave_unidad_2B,2B,Radián por segundo cuadrado,"Es la aceleración angular de un cuerpo animado de una rotación uniformemente variada alrededor de un eje fijo, cuya velocidad angular, varía 1 radián por segundo, en 1 segundo. ",rad/s²
c_clave_unidad_2C,2C,Roentgen,,R
c_clave_unidad_2G,2G,Voltios CA, Una unidad de potencial eléctrico en relación a la corriente alterna (CA).,V
c_clave_unidad_2H,2H,Voltios CD,Unidad de potencial eléctrico en relación con corriente directa (CD).,V
c_clave_unidad_2I,2I,Unidad térmica británica (tabla internacional) por hora,,BtuIT/h
c_clave_unidad_2J,2J,Centímetro cúbico por segundo,,cm³/s
c_clave_unidad_2K,2K,Pie cúbico por hora,,ft³/h
c_clave_unidad_2L,2L,Pie cúbico por minuto,,ft³/min
c_clave_unidad_2M,2M,Centímetro por segundo,,cm/s
c_clave_unidad_2N,2N,Decibel,Medida de sonoridad o sensación sonora que es igual a la décima parte de un bel.,dB
c_clave_unidad_2P,2P,Kilobyte, Unidad de información igual a 10 ³  (1000) bytes.,kbyte
c_clave_unidad_2Q,2Q,Kilobecquerel,,kBq
c_clave_unidad_2R,2R,Kilocurie,,kCi
c_clave_unidad_2U,2U,Megagramo,,Mg
c_clave_unidad_2V,2V,Megagrama por hora,,Mg / h
c_clave_unidad_2X,2X,Metro por minuto,,m/min
c_clave_unidad_2Y,2Y,Milliroentgen,,mR
c_clave_unidad_2Z,2Z,Milivoltio,,mV
c_clave_unidad_33,33,Kilopascal por grtr,,kPa·m²/g
c_clave_unidad_34,34,Kilopascal por milímetro,,kPa/mm
c_clave_unidad_35,35,Milímetro por un segundo centímetro cuadrado,,ml/(cm²·s)
c_clave_unidad_37,37,Onza por pie cuadrado,,oz/ft²
c_clave_unidad_38,38,"Onzas por pie cuadrado por 0,01 pulgadas",,oz/(ft²/cin)
c_clave_unidad_3B,3B,Megajoule,,MJ
c_clave_unidad_3C,3C,Manmonth,Unidad de cuenta que define el número de meses que una persona o personas pueden desempeñar alguna actividad.,
c_clave_unidad_3E,3E,Libra por libra de producto,,
c_clave_unidad_3G,3G,Libra por pieza de producto,,
c_clave_unidad_3H,3H,Kilogramo por kilogramo de producto,,
c_clave_unidad_3I,3I,Kilogramo por pedazo de producto,,
c_clave_unidad_40,40,Mililitro por segundo,,ml/s
c_clave_unidad_41,41,Mililitro por minuto,,ml/min
c_clave_unidad_4B,4B,Gorra,,
c_clave_unidad_4C,4C,Centistokes,,cSt
c_clave_unidad_4E,4E,Veinte pack,,
c_clave_unidad_4G,4G,Microlitro,,µl
c_clave_unidad_4H,4H,Micra,"El micrómetro, micrón o micra es una unidad de longitud equivalente a una milésima parte de un milímetro.",µm
c_clave_unidad_4K,4K,Miliamperio,,mA
c_clave_unidad_4L,4L,Megabyte,Unidad que se usa para cuantificar un caudal de datos equivalente a 1000 kb/s.,Mbyte
c_clave_unidad_4M,4M,Miligramo por hora,,mg/h
c_clave_unidad_4N,4N,Megabequerel,,MBq
c_clave_unidad_4O,4O,Microfaradio,,µF
c_clave_unidad_4P,4P,Newton por metro,,N/m
c_clave_unidad_4Q,4Q,Onza pulgada,,oz·in
c_clave_unidad_4R,4R,Onza pie,,oz·ft
c_clave_unidad_4T,4T,Picofaradio,,pF
c_clave_unidad_4U,4U,Libra por hora,,lb/h
c_clave_unidad_4W,4W,Tonelada (EUA) por hora,,ton (US) /h
c_clave_unidad_4X,4X,Kilolitro por hora,,kl/h
c_clave_unidad_56,56,Sitas, Unidad de área de placa de estaño igual a un área de superficie de 100 metros cuadrados.,
c_clave_unidad_57,57,Malla,Una unidad de recuento de definir el número de hebras por pulgada como una medida de la finura de un producto tejido.,
c_clave_unidad_58,58, kilogramo neto,Unidad de masa que define el número total de kilogramos después de las deducciones.,
c_clave_unidad_59,59,Parte por millón, Una unidad de proporción igual a 10⁻⁶.,ppm
c_clave_unidad_5A,5A,Barril por minuto,,barrel (US)/min
c_clave_unidad_5B,5B,Batch,Unidad de conteo que define el número de lotes (lote: cantidad de material producido en una operación o número de animales o personas que vienen a la vez).,
c_clave_unidad_5C,5C,Galón (US) por mil,,
c_clave_unidad_5E,5E,Mmscf/day,"Unidad de volumen equivalente a un millón (1,000,000) pies cúbicos de gas por día.",
c_clave_unidad_5F,5F,Libra por mil,,
c_clave_unidad_5G,5G,bomba,,
c_clave_unidad_5H,5H,Escenario,,
c_clave_unidad_5I,5I,Pies cúbicos estándar,Utilice estándar (código común WSD),Std
c_clave_unidad_5J,5J,Caballos de potencia hidráulica,Unidad de potencia de la definición de los caballos de potencia hidráulica suministrada por una bomba de fluido dependiendo de la viscosidad del fluido.,
c_clave_unidad_5K,5K,Contar por minuto,,
c_clave_unidad_5P,5P,Nivel sísmico,,
c_clave_unidad_5Q,5Q,Línea sísmica,,
c_clave_unidad_60,60,Tanto por ciento en peso,Una unidad de proporción igual a 10⁻².,
c_clave_unidad_61,61,Parte por mil millones (EUA),Una unidad de proporción igual a 10⁻⁹.,ppb
c_clave_unidad_74,74,Milipascal,,mPa
c_clave_unidad_77,77,Mili-pulgada,,mil
c_clave_unidad_80,80,Libra por pulgada cuadrado absoluta,,lb/in²
c_clave_unidad_81,81,Henry,"Un henry es la unidad para la inductancia eléctrica en el Sistema Internacional de Unidades. Es la inductancia eléctrica de un circuito cerrado en el que se produce una fuerza electromotriz de 1 voltio, cuando la corriente eléctrica que recorre el circuito varía uniformemente a razón de un amperio por segundo.",H
c_clave_unidad_85,85,Pie libra-fuerza,,ft·lbf
c_clave_unidad_87,87,Libra por pie cúbico,,lb/ft³
c_clave_unidad_89,89,Poise,El poise (símbolo: P) es la unidad de viscosidad dinámica del sistema cegesimal de unidades.,P
c_clave_unidad_91,91,Stokes,El Stokes es la unidad de viscosidad cinemática en el Sistema Cegesimal de Unidades,St
c_clave_unidad_A1,A1,15 ° C calorías,,Cal $ _ $
c_clave_unidad_A10,A10,Amperio por metro cuadrado por joule segundo,,A·m²/(J·s)
c_clave_unidad_A11,A11,Ángstrom,"El ángstrom es una unidad de longitud empleada principalmente para expresar longitudes de onda, distancias moleculares y atómicas, etc.",Å
c_clave_unidad_A12,A12,Unidad astronómica,"Es una unidad de longitud igual por definición a 149 597 870 700 metros, y que equivale aproximadamente a la distancia media entre el planeta Tierra y el Sol.",ua
c_clave_unidad_A13,A13,Attojoule," Una unidad SI de la energía, el trabajo, y el calor igual a 10 -18 joules",aJ
c_clave_unidad_A14,A14,Barn,"Es una unidad de superficie, equivalente a 10-28 m² (100 femtómetros cuadrados). Sus múltiplos son muy utilizados en física de partículas para medir las secciones eficaces en reacciones nucleares, y sus inversos para medir luminosidades.",b
c_clave_unidad_A15,A15,Barn por electrovoltio,,b/eV
c_clave_unidad_A16,A16,Barn por electrovoltio ,,b/(sr·eV)
c_clave_unidad_A17,A17,Barn por esteroradian,,b/sr
c_clave_unidad_A18,A18,Becquerel por kilogramo,,Bq/kg
c_clave_unidad_A19,A19,Becquerel por metro cúbico,,Bq/m³
c_clave_unidad_A2,A2,Amperio por centímetro,,A/cm
c_clave_unidad_A20,A20,Unidad térmica británica (tabla internacional) por segundo pie cuadrado grado rankine.,,BtuIT/(s·ft²·°R)
c_clave_unidad_A21,A21,Unidad térmica británica (tabla internacional) por libra grado rankine,,Btu/IT(lb·°R)
c_clave_unidad_A22,A22,Unidad térmica británica (tabla internacional) por segundo pie grado rankine,,BtuIT/(s·ft·°R)
c_clave_unidad_A23,A23,Unidad térmica británica (tabla internacional) por hora pie cuadrado grado rankine.,,BtuIT/(h·ft²·°R)
c_clave_unidad_A24,A24,Candela por metro cuadrado,,cd/m²
c_clave_unidad_A25,A25,Caballo de vapor,Sinónimo: Caballo de fuerza métrico,CV
c_clave_unidad_A26,A26,Culombio metro,,C·m
c_clave_unidad_A27,A27,Culombio metro cuadrado por voltio,,C·m²/V
c_clave_unidad_A28,A28,Culombio por centímetro cúbico,,C/cm³
c_clave_unidad_A29,A29,Culombio por metro cúbico,,C/m³
c_clave_unidad_A3,A3,Amperio por milímetro,,A/mm
c_clave_unidad_A30,A30,Culombio por milímetro cúbico,,C/mm³
c_clave_unidad_A31,A31,Culombio por kilogramo-segundo,,C/(kg·s)
c_clave_unidad_A32,A32,Culombio por Mol,,C/mol
c_clave_unidad_A33,A33,Culombio por centímetro cuadrado,,C/cm²
c_clave_unidad_A34,A34,Culombio por metro cuadrado,,C/m²
c_clave_unidad_A35,A35,Culombio por milímetro cuadrado,,C/mm²
c_clave_unidad_A36,A36,Centímetro cúbico por Mol,,cm³/mol
c_clave_unidad_A37,A37,Decímetro cuadrado por Mol,,dm³/mol
c_clave_unidad_A38,A38,Cubic pooulo p,,m³/C
c_clave_unidad_A39,A39,Metro cúbico por kilogramo,,m³/kg
c_clave_unidad_A4,A4,Amperio por centímetro cuadrado,,A/cm²
c_clave_unidad_A40,A40,Metro cúbico por Mol,,m³/mol
c_clave_unidad_A41,A41,Amperio por metro cuadrado,,A/m²
c_clave_unidad_A42,A42,Curie por kilogramo,,Ci/kg
c_clave_unidad_A43,A43,Tonelaje de peso muerto,"Unidad de masa que define la diferencia entre el peso de un barco cuando está completamente vacío y su peso cuando está completamente cargado, expresado como el número de toneladas.",dwt
c_clave_unidad_A44,A44,Decalitro,,dal
c_clave_unidad_A45,A45,Decámetro,"Medida de longitud, de símbolo dam o Dm, que es igual a 10 metros.",dam
c_clave_unidad_A47,A47,Decitex,Unidad de densidad de hilo. Un decitex es igual a una masa de 1 gramo por 10 kilómetros de longitud.,dtex (g/10km)
c_clave_unidad_A48,A48,Grado rankine,Consulte ISO 80000-5 (Cantidades y unidades - Parte 5: Termodinámica),°R
c_clave_unidad_A49,A49,Negador,Unidad de densidad de hilo. Una denier es igual a una masa de 1 gramo por 9 kilómetros de longitud.,den (g/9 km)
c_clave_unidad_A5,A5,Amperio metro cuadrado,,A·m²
c_clave_unidad_A50,A50,Dina segundo por centímetro cúbico,,Dyn · s / cm³
c_clave_unidad_A51,A51,Dina segundo por centímetro,,Dyn · s / cm
c_clave_unidad_A52,A52,Dina segundo por centímetro a la quinta potencia,,Dyn · s / cm⁵
c_clave_unidad_A53,A53,Electronvoltio,,eV
c_clave_unidad_A54,A54,Electronvoltio por metro,,eV/m
c_clave_unidad_A55,A55,Electronvoltio por metro cuadrado,,eV·m²
c_clave_unidad_A56,A56,Electronvoltio metro cuadrado por kilogramo,,eV·m²/kg
c_clave_unidad_A57,A57,Ergio,,ergio
c_clave_unidad_A58,A58,Erg por centímetro,,Erg / cm
c_clave_unidad_A59,A59,La cobertura de nubes 8-parte,"Unidad de recuento para definir el número de octavos de partes como una medida de la cobertura de nubes de la ccúpula celeste. 

'Sinónimo: OKTA, OCTA",
c_clave_unidad_A6,A6,Amperio por metro cuadrado Kelvin cuadrado,,A/(m²·K²)
c_clave_unidad_A60,A60,Erg por centímetro cúbico,,Erg / cm³
c_clave_unidad_A61,A61,Erg por gramo,,Erg / g
c_clave_unidad_A62,A62,Erg por segundo gramo,,Erg / g · s
c_clave_unidad_A63,A63,Erg por segundo,,Ergs
c_clave_unidad_A64,A64,Erg por segundo centímetro cuadrado,,Erg / (s · cm²)
c_clave_unidad_A65,A65,Erg por centímetro cuadrado segundo,,Erg / (cm² · s)
c_clave_unidad_A66,A66,Erg centímetro cuadrado,,Erg · cm²
c_clave_unidad_A67,A67,Erg centímetro cuadrado por gramo,,Erg · cm² / g
c_clave_unidad_A68,A68,Exajoule,,EJ
c_clave_unidad_A69,A69,Faradio por metro,,F/m
c_clave_unidad_A7,A7,Amperio por milímetro cuadrado,,A/mm²
c_clave_unidad_A70,A70,Femtojoule,,fJ
c_clave_unidad_A71,A71,Femtómetro,Es la unidad de longitud que equivale a una milbillónesima parte del metro.,fm
c_clave_unidad_A73,A73,Pie por segundo al cuadrado,,ft/s²
c_clave_unidad_A74,A74,Pie libra-fuerza por segundo,,ft·lbf/s
c_clave_unidad_A75,A75,Tonelada de carga,"Unidad de información que normalmente se utiliza para la facturación, que se define como sea el número de toneladas métricas o el número de metros cúbicos, lo que sea mayor.",
c_clave_unidad_A76,A76,Galón,"Es una unidad de volumen que se emplea en los países anglófonos (especialmente Estados Unidos) o con influencia de estos (como Liberia, Guatemala, Panamá, Honduras, Nicaragua, El Salvador, Colombia y parcialmente en México), para medir volúmenes de líquidos, principalmente la gasolina y su precio. Antiguamente, el volumen de un galón dependía de lo que se midiera, y dónde. Sin embargo, en el siglo XIX existían dos definiciones de uso común: ""galón de vino"" (wine gallon) y ""galón de cerveza británico"" (ale gallon).",Gal
c_clave_unidad_A77,A77,Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de desplazamiento,,
c_clave_unidad_A78,A78,Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de corriente eléctrica,,
c_clave_unidad_A79,A79,Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de carga eléctrica,,
c_clave_unidad_A8,A8,Amperio segundo,,A·s
c_clave_unidad_A80,A80,Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de la fuerza del campo eléctrico,,
c_clave_unidad_A81,A81,Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de polarización eléctrica,,
c_clave_unidad_A82,A82,Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de potencial eléctrico,,
c_clave_unidad_A83,A83,Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de magnetización,,
c_clave_unidad_A84,A84,GigaCulombio por metro cúbico,,GC/m³
c_clave_unidad_A85,A85,Gigaelectrónvoltio,,GeV
c_clave_unidad_A86,A86,Gigahertz,"Es un múltiplo de la unidad de medida de frecuencia hercio (Hz) y equivale a 109 (1 000 000 000) Hz. Por lo tanto, tiene un período de oscilación de 1 nanosegundo. Las ondas de radio con frecuencias cercanas al gigahercio se denominan microondas.",GHz
c_clave_unidad_A87,A87,GigaOhm,,GΩ
c_clave_unidad_A88,A88,GigaOhm metro,,GΩ·m
c_clave_unidad_A89,A89,Gigapascal,,GPa
c_clave_unidad_A9,A9,Tarifa,Unidad de cantidad expresada como una tasa para el uso de una instalación o servicio.,
c_clave_unidad_A90,A90,Gigawatt,,GW
c_clave_unidad_A91,A91,Grado centesimal,"Sinónimo: grado
El grado centesimal o gon —también llamado gradián (plural: gradianes) y gonio — es una unidad de medida de ángulos planos, alternativa al grado sexagesimal y al radián.",gon
c_clave_unidad_A93,A93,Gramo por metro cúbico,,g/m³
c_clave_unidad_A94,A94,Gramo por Mol,,g/mol
c_clave_unidad_A95,A95,Gray,Es una unidad derivada del Sistema Internacional de Unidades que mide la dosis absorbida de radiaciones ionizantes por un determinado material. Un Gray es equivalente a la absorción de un julio de energía ionizante por un kilogramo de material irradiado.,Gy
c_clave_unidad_A96,A96,Gray por segundo,,Gy/s
c_clave_unidad_A97,A97,Hectopascal,,hPa
c_clave_unidad_A98,A98,Henry por metro,,H/m
c_clave_unidad_A99,A99,Bit,Unidad de información igual a un dígito binario.,bit
c_clave_unidad_AA,AA,Balón,Unidad de recuento para definir el número de bolas (Balón: objeto formado en la forma de esfera).,
c_clave_unidad_AB,AB,Paquete a granel,Unidad de recuento para definir el número de artículos por paquete a granel.,pk
c_clave_unidad_ACR,ACR,Acre,"Es una medida de superficie, usada en agricultura en varios países.",acre
c_clave_unidad_ACT,ACT,Actividad,Unidad de recuento para definir el número de actividades (actividad: una unidad de trabajo o acción).,
c_clave_unidad_AD,AD,Byte,Unidad de información igual a 8 bits.,byte
c_clave_unidad_AE,AE,Amperio por metro,(a veces llamado amperio vuelta por metro) es la unidad SI de la corriente de campo magnético.,A/m
c_clave_unidad_AH,AH,Minuto adicional,"Unidad de tiempo que define el número de minutos, además de los minutos referenciados.",
c_clave_unidad_AI,AI,Minuto y medio por llamada,Unidad de recuento para definir el número de minutos para el intervalo medio de una llamada.,
c_clave_unidad_AJ,AJ,policía,,
c_clave_unidad_AK,AK,Braza,"Una braza es una unidad de longitud náutica, usada generalmente para medir la profundidad del agua. Se llama braza porque equivale a la longitud de un par de brazos extendidos, aproximadamente dos metros, ó 6 pies en el sistema de medición estadounidense. Actualmente es considerada arcaica e imprecisa.",fth
c_clave_unidad_AL,AL,Línea de acceso,Unidad de recuento para definir el número de líneas de acceso telefónico.,
c_clave_unidad_AMH,AMH,Amperio hora,Unidad de carga electrica definida por la cantidad de carga acumulada por un flujo constante de un amperio por 1 hora. ,A·h
c_clave_unidad_AMP,AMP,Amperio,"Es la intensidad de una corriente constante que manteniéndose en dos conductores paralelos, rectilíneos, de longitud infinita, de sección circular despreciable y situados a una distancia de un metro uno de otro en el vacío, produciría una fuerza igual a 2·10-7 newton por metro de longitud. ",A
c_clave_unidad_ANN,ANN,Año,Unidad de tiempo equivalente a 365.25 días. ,y
c_clave_unidad_AP,AP,Libra de aluminio solamente,,
c_clave_unidad_APZ,APZ,Onza troy u onza farmacéutica ,,tr oz
c_clave_unidad_AQ,AQ,Unidad del factor anti-hemofílico.,Unidad de medida para la potencia de la sangre (US).,
c_clave_unidad_AR,AR,supositorio,,
c_clave_unidad_ARE,ARE,Are,Sinónimo: decametro cuadrado,un
c_clave_unidad_AS,AS,Variedad,Unidad de recuento para definir el número de surtidos (variedad: conjunto de elementos agrupados en una colección mixta).,
c_clave_unidad_ASM,ASM,Grado alcohólico en masa,Unidad de masa que define el grado alcohólico de un líquido.,
c_clave_unidad_ASU,ASU,Grado alcohólico volumétrico,"Unidad de volumen que define el grado alcohólico de un líquido (por ejemplo, alcohol, vino, cerveza, etc.), a menudo a una temperatura específica.",
c_clave_unidad_ATM,ATM,Atmósfera estándar,"Es un modelo de la atmósfera terrestre que permite obtener los valores de presión, temperatura, densidad y viscosidad del aire en función de la altitud. Su función es proporcionar un marco de referencia invariante para la navegación aérea y para la realización de cálculos aerodinámicos consistentes.",atm
c_clave_unidad_ATT,ATT,Atmósfera técnica,,a
c_clave_unidad_AW,AW,Relleno de polvo en viales,,
c_clave_unidad_AWG,AWG,Calibre de alambre americano,"También conocido como el calibre del cable Brown & Sharpe , es un estandarizado calibre del cable sistema utilizado desde 1857 predominantemente en Norteamérica para los diámetros de vuelta, no ferroso,, sólido eléctricamente conductor de alambre.",AWG
c_clave_unidad_AY,AY,Montaje,Una unidad de recuento de definir el número de conjuntos (montaje: artículos que consisten de partes componentes).,
c_clave_unidad_AZ,AZ,Unidad térmica británica (tabla internacional) por libra,,BtuIT/lb
c_clave_unidad_B0,B0,Btu por pie cúbico,,BTU / ft³
c_clave_unidad_B1,B1,Barril (EUA) por día,,barrel (US)/d
c_clave_unidad_B10,B10,Bits por segundo,Unidad de información igual a un dígito binario por segundo.,bit/s
c_clave_unidad_B11,B11,Joule por kilogramo kelvin,"Es la capacidad térmica másica de un cuerpo homogéneo de una masa de 1 kilogramo, en el que el aporte de una cantidad de calor de un joule, produce una elevación de temperatura termodinámica de 1 kelvin. ",J/(kg·K)
c_clave_unidad_B12,B12,Joule por metro,,J/m
c_clave_unidad_B13,B13,Joule por metro cuadrado,Sinónimo: joule por metro cuadrado,J/m²
c_clave_unidad_B14,B14,Joule por metro a la cuarta potencia,,J/m⁴
c_clave_unidad_B15,B15,Juole por Mol,,J/mol
c_clave_unidad_B16,B16,Juoule por Mol kelvin,,J/(mol·K)
c_clave_unidad_B17,B17,Crédito,Unidad de recuento de definir el número de entradas realizadas en el haber de una cuenta.,
c_clave_unidad_B18,B18,Segundos joule,,J·s
c_clave_unidad_B19,B19,Dígito,Unidad de información que define la cantidad de números utiliza para formar un número.,
c_clave_unidad_B2,B2,litera,,
c_clave_unidad_B20,B20,Joule metro cuadrado por kilogramo,,J·m²/kg
c_clave_unidad_B21,B21,Kelvin por watt,,K/W
c_clave_unidad_B22,B22,Kiloamperio,,kA
c_clave_unidad_B23,B23,Kiloamperio por metro cuadrado,,kA/m²
c_clave_unidad_B24,B24,Kiloamperio por metro,,kA/m
c_clave_unidad_B25,B25,Kilobecquerel por metro cúbico,,kBq/kg
c_clave_unidad_B26,B26,KiloCulombio,,kC
c_clave_unidad_B27,B27,KiloCulombio por metro cúbico,,kC/m³
c_clave_unidad_B28,B28,KiloCulombio por metro cuadrado,,kC/m²
c_clave_unidad_B29,B29,Kiloelectrónvoltio,,keV
c_clave_unidad_B3,B3,Libra de bateo,Unidad de masa que define el número de libras de fibra acolchada.,
c_clave_unidad_B30,B30,Gibibit,Unidad de información igual a 2³⁰ los bits (dígitos binarios).,Gibit
c_clave_unidad_B31,B31,Kilogramo metro por segundo,,kg·m/s
c_clave_unidad_B32,B32,Kilogramo metro cuadrado,,kg·m²
c_clave_unidad_B33,B33,Kilogramo metro cuadrado por segundo,,kg·m²/s
c_clave_unidad_B34,B34,Kilogramo por decímetro cúbico,,kg/dm³
c_clave_unidad_B35,B35,Kilogramo por litro,,kg/l or kg/L
c_clave_unidad_B36,B36,Calorías (termoquímicas) por gramo,,cal th / g
c_clave_unidad_B37,B37,Kilogramo de fuerza,,Kgf
c_clave_unidad_B38,B38,Kilogramo-metro de la fuerza,,Kgf · m
c_clave_unidad_B39,B39,Kilogramo-fuerza del metro por segundo,,Kgf · m / s
c_clave_unidad_B4,B4,"Barril, unidad imperial",Unidad de volumen utilizado para medir cerveza. Un barril de cerveza es igual a 36 galones imperiales.,
c_clave_unidad_B40,B40,Kilogramo de fuerza por metro cuadrado,,Kgf / m²
c_clave_unidad_B41,B41,Kilojoule por kelvin,,kJ/K
c_clave_unidad_B42,B42,Kilojoule por kilogramo,,kJ/kg
c_clave_unidad_B43,B43,Kilojoule por kilogramo kelvin,,kJ/(kg·K)
c_clave_unidad_B44,B44,Kilojoule por Mol ,,kJ/mol
c_clave_unidad_B45,B45,KiloMol,,kmol
c_clave_unidad_B46,B46,KiloMol por metro cúbico,,kmol/m³
c_clave_unidad_B47,B47,Kilonewton,,kN
c_clave_unidad_B48,B48,Kilonewton metro,,kN·m
c_clave_unidad_B49,B49,KiloOhm,,kΩ
c_clave_unidad_B5,B5,palanquilla,,
c_clave_unidad_B50,B50,KiloOhm metro,,kΩ·m
c_clave_unidad_B51,B51,KiloLibra,Sinónimo: Kilogramo-fuerza,Kp
c_clave_unidad_B52,B52,Kilosegundo,,ks
c_clave_unidad_B53,B53,Kilosiemens,,kS
c_clave_unidad_B54,B54,Kilosiemens por metro,,kS/m
c_clave_unidad_B55,B55,Kilovoltio por metro,,kV/m
c_clave_unidad_B56,B56,Kiloweber por metro,,kWb/m
c_clave_unidad_B57,B57,Año luz,Unidad de longitud que considera la distancia a la que viaja la luz en el vacío en un año.,ly
c_clave_unidad_B58,B58,Litro por Mol,,l/mol
c_clave_unidad_B59,B59,Lumen hora,,lm·h
c_clave_unidad_B6,B6,Bollo,,
c_clave_unidad_B60,B60,Lumen por metro cuadrado,,lm/m²
c_clave_unidad_B61,B61,Luminosidad por watt,,lm/W
c_clave_unidad_B62,B62,Lumen segundo,,lm·s
c_clave_unidad_B63,B63,Hora de luz,,lx·h
c_clave_unidad_B64,B64,Segundo de luz,,lx·s
c_clave_unidad_B65,B65,Maxwell,,Mx
c_clave_unidad_B66,B66,Megaamperio por metro cuadrado,,MA/m²
